userid,age,area
151603712,13y - 15y,APAC
187131847,19y - 25y,APAC
59945701,31y - 40y,EMEA
53875128,41y - 50y,NCSA
234941318,++50y,EMEA
140954425,41y - 50y,APAC
26122540,<13y,NCSA
176410694,13y - 15y,EMEA
197278511,41y - 50y,NCSA
150128162,19y - 25y,EMEA
197455089,26y - 30y,APAC
63024728,41y - 50y,NCSA
297811211,++50y,APAC
76933274,<13y,EMEA
218323237,<13y,APAC
302186258,13y - 15y,APAC
126340495,41y - 50y,NCSA
256193015,<13y,APAC
194895541,++50y,EMEA
30007387,++50y,EMEA
170625356,++50y,EMEA
159538705,41y - 50y,NCSA
167362888,19y - 25y,EMEA
208649703,<13y,EMEA
299889828,31y - 40y,EMEA
225987202,16y - 18y,EMEA
195071563,++50y,EMEA
254906420,++50y,EMEA
247160953,26y - 30y,APAC
308653033,41y - 50y,APAC
144138643,<13y,NCSA
197902002,26y - 30y,NCSA
97298878,26y - 30y,APAC
173909336,16y - 18y,EMEA
198572546,31y - 40y,APAC
219509107,19y - 25y,EMEA
202906503,41y - 50y,NCSA
92107940,31y - 40y,EMEA
251431515,13y - 15y,EMEA
233558010,<13y,EMEA
99189757,16y - 18y,NCSA
30695285,++50y,APAC
259648553,31y - 40y,EMEA
201069271,41y - 50y,APAC
48845802,<13y,EMEA
226212066,41y - 50y,EMEA
221430493,13y - 15y,NCSA
62923086,16y - 18y,NCSA
250006052,26y - 30y,EMEA
65117175,13y - 15y,EMEA
227944885,31y - 40y,APAC
144004384,26y - 30y,APAC
236557903,13y - 15y,EMEA
11373749,<13y,APAC
140293612,19y - 25y,APAC
187851224,<13y,APAC
192921532,41y - 50y,EMEA
54103616,26y - 30y,NCSA
222277839,31y - 40y,NCSA
298547051,31y - 40y,EMEA
264253640,31y - 40y,NCSA
125718844,16y - 18y,NCSA
230599183,++50y,APAC
280061602,16y - 18y,APAC
38763767,13y - 15y,EMEA
164543231,<13y,APAC
211277578,16y - 18y,EMEA
214167822,16y - 18y,NCSA
163617342,<13y,EMEA
295931968,++50y,EMEA
196354657,31y - 40y,APAC
165034415,26y - 30y,APAC
298389371,13y - 15y,APAC
27543430,19y - 25y,NCSA
126640783,13y - 15y,EMEA
119410870,31y - 40y,APAC
243440565,<13y,NCSA
157694162,16y - 18y,APAC
154868247,41y - 50y,NCSA
263856756,19y - 25y,APAC
124395695,++50y,APAC
126656629,16y - 18y,EMEA
197821092,19y - 25y,EMEA
294797577,13y - 15y,APAC
228507886,41y - 50y,NCSA
272425320,<13y,APAC
49769103,<13y,APAC
202742019,13y - 15y,APAC
239397807,16y - 18y,APAC
65758675,31y - 40y,EMEA
239921853,13y - 15y,NCSA
300601393,13y - 15y,APAC
109278470,16y - 18y,NCSA
197509386,13y - 15y,APAC
